,text,author
32,      “It's the possibility of having a dream come true that makes life interesting.”  ,"    Paulo Coelho,  "
33,"      “What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”  ","    Maya Angelou,  "
34,"      “He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”  ",    Bob Marley  
35,      “I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.”  ,    maya angelou  
36,"      “If you remember me, then I don't care if everyone else forgets.”  ","    Haruki Murakami,  "
37,      “Turn your wounds into wisdom.”  ,    Oprah Winfrey  
38,"      “Take responsibility of your own happiness, never put it in other people’s hands.”  ","    Roy T. Bennett,  "
39,"      “When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”  ","    Arthur Conan Doyle,  "
40,      “War is peace. ,"    George Orwell,  "
41,      “Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.”  ,"    Roy T. Bennett,  "
42,"      “Great things happen to those who don't stop believing, trying, learning, and being grateful.”  ","    Roy T. Bennett,  "
43,      “Be thankful for everything that happens in your life; it’s all an experience.”  ,    Roy T. Bennett  
44,      “Tears are words that need to be written.”  ,    Paulo Coelho  
45,      “Sometimes you have to lose all you have to find out who you truly are.”  ,"    Roy T. Bennett,  "
46,      “There must be those among whom we can sit down and weep and still be counted as warriors.”  ,    Adrienne Rich  
47,      “Don't let the bastards grind you down.”  ,"    Margaret Atwood,  "
48,"      “I don't think of all the misery, but of the beauty that still remains.”  ","    Anne Frank,  "
49,"      “It's not the size of the dog in the fight, it's the size of the fight in the dog.”  ",    Mark Twain  
50,"      “A person's a person, no matter how small.”  ","    Dr. Seuss,  "
51,"      “When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”  ","    Henri Nouwen,  "
52,"      “You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”  ","    Nicholas Sparks,  "
53,      “Well-behaved women seldom make history.”  ,"    Laurel Thatcher Ulrich,  "
54,"      “When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”  ",    Mahatma Gandhi  
55,"      “So we beat on, boats against the current, borne back ceaselessly into the past.”  ","    F. Scott Fitzgerald,  "
56,"      “Nothing is impossible, the word itself says 'I'm possible'!”  ",    Audrey Hepburn  
57,"      “I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”  ",    Herbert Bayard Swope  
58,"      “[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!”  ","    Jack Kerouac,  "
59,      “Do what you feel in your heart to be right – for you’ll be criticized anyway.”  ,    Eleanor Roosevelt  
60,"      “Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”  ",    Margaret Mead  
61,      “Happiness is not something ready made. It comes from your own actions.”  ,    Dalai Lama XIV  
62,      “Peace begins with a smile..”  ,    Mother Teresa  
63,"      “Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”  ",    Gustave Flaubert  
64,"      “Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”  ","    John Green,  "
65,      “What lies behind us and what lies before us are tiny matters compared to what lies within us.”  ,    Ralph Waldo Emerson  
66,"      “For attractive lips, speak words of kindness.","    Sam Levenson,  "
67,"      “Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”  ","    C.S. Lewis,  "
68,      “Promise Yourself,"    Christian D. Larson,  "
69,"      “I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.”  ","    F. Scott Fitzgerald,  "
70,"      “Whatever you are, be a good one.”  ",    Abraham Lincoln  
71,      “May you live every day of your life.”  ,    Jonathan Swift  
72,"      “Two wrongs don't make a right, but they make a good excuse.”  ",    Thomas Szasz  
73,      “Who controls the past controls the future. Who controls the present controls the past.”  ,"    George Orwell,  "
74,      “First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.”  ,    Nicholas Klein  
75,      “Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”  ,    Mahatma Gandhi  
76,      “Be mindful. Be grateful. Be positive. Be true. Be kind.”  ,"    Roy T. Bennett,  "
77,      “It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.”  ,"    Dale Carnegie,  "
78,"      “What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.”  ","    Suzanne Collins,  "
79,"      “Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”  ","    Roy T. Bennett,  "
80,"      “Life is too short to waste your time on people who don’t respect, appreciate, and value you.”  ","    Roy T. Bennett,  "
81,"      “I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.”  ",    Maya Angelou  
82,      “The future belongs to those who believe in the beauty of their dreams.”  ,    Eleanor Roosevelt  
83,"      “And, in the end","    Paul McCartney,  "
84,"      “I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.”  ",    Agatha Christie  
85,"      “I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?”  ",    Mother Teresa  
86,"      “I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.”  ",    Mark Twain  
87,"      “We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.”","    Andrew  Boyd,  "
88,"      “It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.”  ",    Roy T. Bennett  
89,      “Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.”  ,"    Roy T. Bennett,  "
90,      “Don't judge each day by the harvest you reap but by the seeds that you plant.”  ,    Robert Louis Stevenson  
91,"      “But I know, somehow, that only when it is dark enough can you see the stars.”  ","    Martin Luther King, Jr.  "
92,"      “More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.”  ","    Roy T. Bennett,  "
93,"      “Simplicity, patience, compassion.","    Lao Tzu,  "
94,"      “The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.”  ","    Roy T. Bennett,  "
95,      “None but ourselves can free our minds.”  ,    Bob Marley  
96,"      “The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.”  ","    Steve Maraboli,  "
97,"      “Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.”  ",    Albert Schweitzer  
98,"      “When one tugs at a single thing in nature, he finds it attached to the rest of the world.”  ",    John Muir  
99,"      “Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”  ","    Roy T. Bennett,  "
100,"      “Don’t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”  ",    Roy T. Bennett  
101,"      “Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality — not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”  ",    Roy T. Bennett  
102,"      “Do what is right, not what is easy nor what is popular.”  ","    Roy T. Bennett,  "
103,"      “Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.”  ","    Rabindranath Tagore,  "
104,"      “If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.”  ","    Roy T. Bennett,  "
105,"      “People say nothing is impossible, but I do nothing every day.”  ","    A.A. Milne,  "
106,      “The brick walls are there for a reason. The brick walls are not there to keep us out. The brick walls are there to give us a chance to show how badly we want something. Because the brick walls are there to stop the people who don’t want it badly enough. They’re there to stop the other people.”  ,"    Randy Pausch,  "
107,      “A woman's heart should be so hidden in God that a man has to seek Him just to find her.”  ,    Maya Angelou  
108,"      “Anyone can hide. Facing up to things, working through them, that's what makes you strong.”  ",    Sarah Dessen  
109,"      “please believe that things are good with me, and even when they're not, they will be soon enough. And i will always believe the same about you.”  ","    Stephen Chbosky,  "
110,"      “I will love you always. When this red hair is white, I will still love you. When the smooth softness of youth is replaced by the delicate softness of age, I will still want to touch your skin. When your face is full of the lines of every smile you have ever smiled, of every surprise I have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,I will treasure you all the more, because I was there to see it all. I will share your life with you, Meredith, and I will love you until the last breath leaves your body or mine.”  ","    Laurell K. Hamilton,  "
111,      “You are not rich until you have a rich heart.”  ,"    Roy T. Bennett,  "
112,"      “Stop comparing yourself to other people, just choose to be happy and live your own life.”  ","    Roy T. Bennett,  "
113,"      “Never be bullied into silence. Never allow yourself to be made a victim. Accept no one's definition of your life, but define yourself.”  ",    Harvey Fierstein  
114,      “You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.”  ,    Roy T. Bennett  
115,"      “I kept always two books in my pocket, one to read, one to write in.”  ","    Robert Louis Stevenson,  "
116,      “In the end,"    Jack Kornfield,  "
117,"      “Do not let the memories of your past limit the potential of your future. There are no limits to what you can achieve on your journey through life, except in your mind.”  ","    Roy T. Bennett,  "
118,"      “I must be a mermaid, Rango. I have no fear of depths and a great fear of shallow living.”  ",    Anais Nin  
119,"      “Life is too short to waste any amount of time on wondering what other people think about you. In the first place, if they had better things going on in their lives, they wouldn't have the time to sit around and talk about you. What's important to me is not others' opinions of me, but what's important to me is my opinion of myself.”  ",    C. JoyBell C.  
120,"      “Great heroes need great sorrows and burdens, or half their greatness goes unnoticed. It is all part of the fairy tale.”  ","    Peter S. Beagle,  "
121,"      “I'd rather be hated for who I am, than loved for who I am not.”  ",    Kurt Cobain  
122,"      “Atticus, he was real nice.""","    Harper Lee,  "
123,"      “So many people walk around with a meaningless life. They seem half-asleep, even when they're busy doing things they think are important. This is because they're chasing the wrong things. The way you get meaning into your life is to devote yourself to loving others, devote yourself to your community around you, and devote yourself to creating something that gives you purpose and meaning.”  ","    Mitch Albom,  "
124,"      “Parents can only give good advice or put them on the right paths, but the final forming of a person's character lies in their own hands.”  ",    Anne Frank  
125,"      “I wonder how many people don't get the one they want, but end up with the one they're supposed to be with.”  ","    Fannie Flagg,  "
126,      “Trees that are slow to grow bear the best fruit.”  ,    Moliere  
127,      “Don't Just,"    Roy T. Bennett,  "
128,"      “The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.”  ",    Kalu Ndukwe Kalu  
129,"      “Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved.”  ","    Roy T. Bennett,  "
130,      “Dare to Be,"    Steve Maraboli,  "
131,"      “You cannot control the behavior of others, but you can always choose how you respond to it.”  ","    Roy T. Bennett,  "
132,      “Life becomes easier and more beautiful when we can see the good in other people.”  ,    Roy T. Bennett  
133,"      “A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.”  ",    Leonardo da Vinci  
134,      “A woman's heart should be so hidden in God that a man has to seek Him just to find her.”  ,    Max Lucado  
135,      “It's kind of fun to do the impossible.”  ,    Walt Disney  
136,      “Pain is temporary. Quitting lasts forever.”  ,"    Lance Armstrong Sally Jenkins,  "
137,"      “The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.”  ",    Jim MORRISON  
138,      “Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.”  ,    C. JoyBell C.  
139,"      “When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.”  ",    Taylor Swift  
140,"      “I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.”  ","    Santosh Kalwar,  "
141,      “You never fail until you stop trying.”  ,    Albert Einstein  
142,      “All the darkness in the world cannot extinguish the light of a single candle.”  ,"    St. Francis Of Assisi,  "
143,"      “If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.”  ",    C. JoyBell C.  
144,      “Hope,    Alfred Lord Tennyson  
145,"      “Start writing, no matter what. The water does not flow until the faucet is turned on.”  ",    Louis L'Amour  
146,"      “The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity.”  ",    John F. Kennedy  
147,"      “Stories never really end...even if the books like to pretend they do. Stories always go on. They don't end on the last page, any more than they begin on the first page.”  ","    Cornelia Funke,  "
148,      “Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.”  ,"    Jonathan Safran Foer,  "
149,      “To see a World in a Grain of Sand ,"    William Blake,  "
150,      “Never lose hope. Storms make people stronger and never last forever.”  ,"    Roy T. Bennett,  "
151,      “The worst part of success is trying to find someone who is happy for you.”  ,    Bette Midler  
152,"      “She seems so cool, so focused, so quiet, yet her eyes remain fixed upon the horizon. You think you know all there is to know about her immediately upon meeting her, but everything you think you know is wrong. Passion flows through her like a river of blood. ","    Neil Gaiman,  "
153,"      “There are some things you can't share without ending up liking each other, and knocking out a twelve-foot mountain troll is one of them.”  ","    J. K. Rowling,  "
154,"      “No matter what he does, every person on earth plays a central role in the history of the world. And normally he doesn't know it.”  ","    Paulo Coelho,  "
155,"      “You should never be surprised when someone treats you with respect, you should expect it.”  ","    Sarah Dessen,  "
156,"      “There was another life that I might have had, but I am having this one.”  ",    Kazuo Ishiguro  
157,      “It does not matter how slowly you go as long as you do not stop.”  ,    Confucius  
158,      “What's the good of living if you don't try a few things?”  ,    Charles M. Schulz  
159,      “Nothing in the world is ever completely wrong. Even a stopped clock is right twice a day.”  ,"    Paulo Coelho,  "
160,"      “The purpose of life is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.”  ",    Eleanor Roosevelt  
161,"      “Change will not come if we wait for some other person, or if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.”  ",    Barack Obama  
162,"      “Lack of direction, not lack of time, is the problem. We all have twenty-four hour days.”  ",    Zig Ziglar  
163,"      “If people refuse to look at you in a new light and they can only see you for what you were, only see you for the mistakes you've made, if they don't realize that you are not your mistakes, then they have to go.”  ","    Steve Maraboli,  "
164,      “Kindness is a language which the deaf can hear and the blind can see.”  ,    Mark Twain  
165,"      “Go on with what your heart tells you, or you will lose all.”  ","    Rick Riordan,  "
166,"      “If you think you are too small to make a difference, try sleeping with a mosquito.”  ",    Dalai Lama XIV  
167,      “Try a little harder to be a little better.”  ,    Gordon B. Hinckley  
168,      “Reputation is what other people know about you. Honor is what you know about yourself.”  ,"    Lois McMaster Bujold,  "
169,"      “The important thing to you is not how many years in your life, but how much life in your years!”  ",    Edward J. Stieglitz  
170,"      “Time doesn’t heal emotional pain, you need to learn how to let go.”  ","    Roy T. Bennett,  "
171,"      “Every book, every volume you see here, has a soul. The soul of the person who wrote it and of those who read it and lived and dreamed with it. Every time a book changes hands, every time someone runs his eyes down its pages, its spirit grows and strengthens.”  ","    Carlos Ruiz Zafón,  "
172,      “Even strength must bow to wisdom sometimes.”  ,"    Rick Riordan,  "
173,"      “All parents damage their children. It cannot be helped. Youth, like pristine glass, absorbs the prints of its handlers. Some parents smudge, others crack, a few shatter childhoods completely into jagged little pieces, beyond repair.”  ","    Mitch Albom,  "
174,      “I meant what I said and I said what I meant. An elephant's faithful one-hundred percent!”  ,"    Dr. Seuss,  "
175,"      “Remember, darkness does not always equate to evil, just as light does not always bring good.”  ","    P.C. Cast,  "
176,      “To shine your brightest light is to be who you truly are.”  ,    Roy T. Bennett  
177,"      “My concern is not whether God is on our side; my greatest concern is to be on God's side, for God is always right.”  ",    Abraham Lincoln  
178,"      “When I was about eight, I decided that the most wonderful thing, next to a human being, was a book.”  ",    Margaret Walker  
179,"      “What do we live for, if it is not to make life less difficult for each other?”  ",    George Eliot  
180,"      “Make improvements, not excuses. Seek respect, not attention.”  ","    Roy T. Bennett,  "
181,      “Keep Going,"    Roy T. Bennett,  "
182,"      “Pursue what catches your heart, not what catches your eyes.”  ","    Roy T. Bennett,  "
183,      “You're off to Great Places!,"    Dr. Seuss,  "
184,"      “Success is not how high you have climbed, but how you make a positive difference to the world.”  ","    Roy T. Bennett,  "
185,"      “Well, now","    Pablo Neruda,  "
186,"      “We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.”  ",    C. JoyBell C.  
187,      “It is the time you have wasted for your rose that makes your rose so important.”  ,"    Antoine de Saint-Exupéry,  "
188,      “Learn to light a candle in the darkest moments of someone’s life. Be the light that helps others see; it is what gives life its deepest significance.”  ,"    Roy T. Bennett,  "
189,"      “Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.”  ",    H. Jackson Brown Jr.  
190,"      “Once you have tasted flight, you will forever walk the earth with your eyes turned skyward, for there you have been, and there you will always long to return.”  ",    Leonardo da Vinci  
191,"      “The thing about growing up with Fred and George,"" said Ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve.”  ","    J. K. Rowling,  "
192,      “Be grateful for what you already have while you pursue your goals. ,"    Roy T. Bennett,  "
193,"      “The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.”  ","    Bukkyo Dendo Kyokai,  "
194,"      “One love, one heart, one destiny.”  ",    Robert Marley  
195,      “Believe in Your Heart,"    Roy T. Bennett,  "
196,"      “If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.”  ","    Bob Marley,  "
197,"      “Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.”  ",    Rumi  
198,"      “No amount of regretting can change the past, and no amount of worrying can change the future.”  ","    Roy T. Bennett,  "
199,"      “Treat everyone with politeness and kindness, not because they are nice, but because you are.”  ","    Roy T. Bennett,  "
200,"      “So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.”  ","    Dr. Seuss,  "
201,      “Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.”  ,"    Clive Barker,  "
202,      “Start each day with a positive thought and a grateful heart.”  ,"    Roy T. Bennett,  "
203,      “Acts of Kindness:,"    Roy T. Bennett,  "
204,"      “It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.”  ","    Stephenie Meyer,  "
205,      “You is kind. You is smart. You is important.”  ,"    Kathryn Stockett,  "
206,"      “Follow your heart, listen to your inner voice, stop caring about what others think.”  ","    Roy T. Bennett,  "
207,      “Top 15 Things Money Can’t Buy,"    Roy T. Bennett,  "
208,"      “Understanding is the first step to acceptance, and only with acceptance can there be recovery.”  ","    J.K. Rowling,  "
209,"      “Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.”  ",    J.K. Rowling  
210,      “I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.”  ,"    Robert Fulghum,  "
211,"      “If my life is going to mean anything, I have to live it myself.”  ","    Rick Riordan,  "
212,"      “And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.”  ","    Haruki Murakami,  "
213,      “You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”  ,"    A.A. Milne,  "
214,      “Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?”  ,    L.M. Montgomery  
215,      “Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.”  ,"    Roy T. Bennett,  "
216,      “Hope is the thing with feathers ,    Emily Dickinson  
217,"      “You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.”  ",    C. JoyBell C.  
218,      “Pain is inevitable. Suffering is optional.”  ,"    haruki murakami,  "
219,"      “When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.”  ",    John Lennon  
220,      “If you're reading this...,"    Chad Sugg,  "
221,      “Always do what you are afraid to do.”  ,    Ralph Waldo Emerson  
222,"      “There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life. ",    Alexandre Dumas  
223,      “Our lives begin to end the day we become silent about things that matter.”  ,"    Martin Luther King Jr.,  "
224,"      “The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..”  ","    John Milton,  "
225,      “Talent hits a target no one else can hit. Genius hits a target no one else can see.”  ,    Arthur Schopenhauer  
226,"      “In the end, we will remember not the words of our enemies, but the silence of our friends.”  ",    Martin Luther King Jr.  
